,class
4481,1
5302,0
4605,1
3716,0
7978,1
1764,0
1549,0
3029,0
6440,1
2044,0
767,0
1508,0
7887,0
4517,1
4219,1
6745,1
5322,1
3292,1
819,0
1403,0
1382,1
2148,0
1638,0
7806,1
399,1
882,0
3565,1
7257,1
1179,0
4244,1
5218,1
5547,0
2130,0
5078,1
456,0
6999,0
1950,0
689,0
6417,1
7840,0
1953,0
2710,0
7591,1
6036,1
4349,1
7049,1
1884,0
6120,0
7180,1
2494,0
3036,0
3603,0
845,0
542,1
3724,1
4187,0
3679,1
6483,1
7654,1
7677,1
2964,0
2529,0
1048,0
1960,0
2530,0
6998,0
237,0
4917,1
1133,0
6714,1
4259,1
6009,1
6108,1
8114,1
2978,0
6429,1
6246,1
5488,1
6060,1
3919,1
3138,1
7248,1
4073,0
8067,0
3229,0
1826,0
593,1
2725,0
4137,1
560,0
7839,1
6879,1
243,1
4437,1
5639,1
405,0
1442,0
261,1
7061,1
7925,1
1689,0
1725,1
6622,1
4930,0
2496,0
7058,1
340,0
8020,1
1601,0
4576,1
3725,1
8041,1
2785,0
1523,0
6058,1
7212,1
7524,0
5729,1
6564,1
1766,0
8012,1
4037,1
6874,1
6418,1
6581,1
7597,0
363,0
5367,1
8033,1
7304,1
4725,1
4443,1
6473,1
7500,0
2562,0
5688,1
7445,0
7538,1
3083,0
7483,1
2102,0
632,0
2493,0
2665,0
5893,0
4406,1
7468,0
5773,0
2334,0
8109,0
3619,0
3883,0
5520,1
4211,1
1494,0
2401,0
3874,1
1232,0
2661,0
2817,0
6869,1
7424,1
8105,0
6449,0
4153,1
6059,1
3061,1
7153,0
8034,0
1735,0
2823,0
6198,1
7946,0
2475,0
2564,0
8094,0
6835,1
6285,1
707,0
3046,0
6925,1
5189,1
6204,1
5472,1
72,0
4448,1
4839,1
7600,1
5101,0
1190,0
2601,0
1125,0
1241,0
7277,1
6754,1
6099,1
3351,1
5094,1
4008,0
1577,1
3906,1
3729,0
4358,1
1343,0
8101,1
7689,0
440,0
1100,0
2637,0
7897,1
649,0
1546,1
6183,1
6203,0
2852,0
3503,0
5861,0
630,0
4768,1
1249,0
6753,1
482,0
1584,0
4676,1
1462,0
3040,1
5010,0
6253,1
3273,0
3683,1
4145,1
5738,1
4954,1
3225,0
1072,0
4815,1
2631,0
1660,0
2425,0
5079,0
8122,1
6178,1
3097,1
3976,1
7271,0
7708,1
5786,1
5481,0
6437,1
5495,1
5291,0
1408,0
1845,0
1798,1
3957,1
1475,0
5894,0
35,0
6384,1
444,0
2359,0
3654,1
6382,1
3179,1
1286,1
7039,0
4445,1
3416,0
2137,0
2636,0
4016,1
7841,1
1681,0
7735,1
7585,0
5275,1
1692,0
6004,1
6468,1
3635,1
372,0
6245,1
5453,1
4882,1
7694,1
140,0
4884,1
4419,0
7567,1
6673,1
714,0
5243,0
3188,1
7175,1
4431,1
5700,1
406,0
20,0
1004,0
4986,1
2411,0
2545,0
6095,1
2390,0
6525,1
42,0
2830,0
3371,1
3022,0
3364,0
4399,1
5252,0
11,0
4760,1
1177,0
1947,0
2501,0
7053,1
2863,0
3865,1
1026,0
3848,0
2989,0
961,0
2889,0
3015,0
3338,0
5752,1
735,0
4400,1
1440,0
7727,1
2875,0
3986,1
916,0
6774,0
6338,1
4089,0
7502,1
6347,1
2772,0
1624,0
8006,1
821,0
1367,0
3712,0
7893,0
7297,1
850,0
1000,0
6048,1
4114,1
1637,1
1667,1
4589,1
3173,1
6188,1
1347,0
6395,1
3230,0
7361,0
6247,1
4783,0
8037,1
3232,1
6642,1
703,0
5105,1
6474,1
3291,0
3673,0
2408,0
7492,1
1327,0
7616,1
5406,1
6657,1
4909,1
4440,1
6783,1
986,0
6451,1
7371,1
6983,1
6721,1
4049,1
3485,0
2474,0
5238,0
3873,1
1198,0
4181,1
1518,0
6734,1
5477,1
1799,0
1014,0
128,0
1364,0
7045,1
4470,1
891,0
2793,0
6816,1
5455,1
4403,1
7732,1
5413,0
6965,1
3249,0
6889,1
1208,0
3868,1
7291,1
4065,1
6945,1
6169,1
1239,0
2289,0
2740,0
275,0
4585,1
1035,0
1229,0
1008,0
6618,1
5178,0
3828,0
2532,0
4293,1
1058,0
6040,0
281,0
1043,0
1316,0
968,0
2381,0
6480,1
1939,0
5843,1
1274,0
619,0
5912,1
1742,0
1390,0
6611,1
1579,1
1655,0
3568,0
2352,0
2212,0
8073,0
3178,0
3192,0
1307,0
575,0
2360,0
1280,0
6605,1
4957,1
6875,1
5724,0
1993,0
2639,0
269,1
629,0
6029,1
3081,0
3466,0
7097,1
4396,0
4023,1
7696,1
5543,1
5568,1
2046,0
4356,1
6379,1
2113,0
27,0
2040,0
3928,0
7342,1
3216,0
7568,1
3814,1
129,0
6033,1
7970,0
4599,1
13,1
7144,1
4476,1
1525,0
2365,0
4648,1
3052,1
4005,1
2340,0
374,0
7006,1
6979,1
939,0
7771,1
5718,1
4573,1
2147,1
3591,0
8093,1
7375,0
6826,1
3623,0
529,0
3714,0
6348,1
4732,0
1269,0
4281,1
1394,0
4850,1
4009,0
4390,1
1797,0
2979,0
1441,0
6915,1
7905,0
3811,0
5631,1
1273,0
4703,1
1712,0
955,0
6027,1
7766,1
7363,1
7457,1
403,0
2071,0
7715,1
1977,0
158,0
5844,1
3888,0
5451,1
902,0
352,0
5326,1
4540,1
4130,1
754,0
5833,1
2971,0
8083,1
2920,0
311,1
4644,1
661,0
1989,1
3665,0
306,0
2335,0
4790,1
2356,0
3702,0
3804,1
1927,0
7126,1
3427,0
749,0
3638,0
5922,1
1266,0
6548,1
6175,1
7183,0
3595,0
2134,0
5066,1
4109,0
4969,1
4904,1
514,0
7264,1
409,0
6071,1
8090,1
8029,0
7038,1
207,0
6606,1
458,0
2054,0
2430,0
250,0
6932,0
5437,1
1107,0
7284,0
1713,0
3911,1
6538,1
715,0
552,0
1439,0
2270,0
3144,0
7751,1
1925,0
634,0
316,0
7631,0
5424,1
427,0
6041,1
105,0
3041,1
4238,1
2169,0
1709,0
89,0
2241,1
3174,1
6074,1
1949,0
4044,1
7658,0
2848,0
1,0
4337,1
935,0
6951,1
2720,0
5205,1
6227,1
591,0
7827,1
6105,1
2936,0
2448,0
1576,0
6536,1
6779,1
213,0
778,0
6870,1
3496,1
7917,1
2043,0
7367,1
5420,0
1567,0
165,0
4702,1
3566,0
6224,1
7720,0
5439,1
2013,0
273,0
3860,0
4167,1
6481,1
3788,0
5183,1
394,0
583,0
7986,0
8096,0
7529,0
6674,1
7764,1
6570,1
520,0
1763,0
1875,0
5355,1
3965,1
3344,0
2253,0
3224,0
526,0
2946,0
4473,1
3899,0
5655,1
692,0
7676,1
4444,0
3633,1
5805,1
1050,0
590,1
519,0
3380,0
3676,0
5776,0
6690,1
5179,0
1607,0
3610,1
7746,0
8120,0
1809,0
791,0
792,0
6678,1
1855,0
1980,0
3233,1
3598,0
933,0
3963,1
6050,1
5626,1
5506,1
7539,1
4179,0
4026,1
7197,1
4116,1
988,0
7051,0
3453,1
7419,1
3778,0
5658,1
6812,1
3093,1
3155,0
5069,1
5806,1
3201,1
6555,1
1098,0
6744,0
2844,0
886,0
8013,0
7449,0
515,0
7495,1
4833,1
1453,1
3553,0
3609,0
4665,1
2506,0
2994,0
3999,1
7698,0
906,1
28,0
6968,1
2507,0
2428,0
5043,1
5346,1
762,0
3747,0
4811,1
284,0
686,0
7508,1
2353,0
7947,1
6978,1
21,1
2752,0
885,0
917,0
1040,0
6445,1
1265,0
4579,1
7032,0
8032,1
277,0
5084,1
2084,0
1245,0
2382,0
571,0
1435,0
3902,1
5089,1
1247,0
7794,1
4681,1
3526,0
2514,0
5445,1
1007,0
4770,1
4543,1
6126,1
7037,0
2064,0
5352,1
6414,1
1690,0
7011,0
7378,0
5343,1
1985,0
294,0
1547,0
2012,0
588,0
3329,0
2403,0
2129,1
3998,0
7116,0
3741,1
3508,1
2719,0
4521,1
5150,0
7399,1
7407,0
556,1
4795,1
2469,0
3738,1
4286,1
6685,1
5289,1
1716,0
2604,0
6696,1
1704,0
2139,0
3239,1
2383,0
4311,1
1285,0
6912,1
6441,1
7259,1
3930,1
5985,1
6154,1
1591,0
7632,0
7200,0
2162,0
2396,0
317,0
7290,0
3111,0
5233,0
6487,1
7878,0
4036,1
795,1
3020,0
1711,0
3387,0
36,0
4549,1
913,0
5721,1
5295,0
3972,0
5370,1
4133,1
974,0
983,0
6630,1
1418,0
1560,0
4135,1
5582,0
6476,1
4265,1
1355,0
7606,1
7701,0
987,0
2682,0
5047,1
1640,0
1290,0
3681,0
1380,1
1933,0
4675,1
6830,1
3160,0
2030,0
892,0
4876,0
4069,1
4255,1
2,0
2109,0
849,0
2737,0
2466,0
1914,0
1596,0
5872,1
1913,0
5139,1
7650,0
5640,0
2736,0
726,0
53,1
1796,0
3845,1
6007,1
2553,0
2800,0
936,0
7781,1
824,0
4321,1
3401,0
1389,0
3564,0
884,0
5429,1
5703,1
5690,1
4867,1
1868,0
5181,1
10,0
3415,0
5421,0
1463,0
806,0
6621,1
6386,1
4068,0
2108,0
6851,1
8052,0
2234,0
963,0
4494,1
2632,0
6094,1
704,0
431,0
4388,1
6077,1
145,0
2033,0
6813,1
1165,0
3500,1
2050,0
3760,0
2624,0
4484,1
4435,1
6471,1
6299,1
4361,1
2424,0
1262,1
1771,0
3511,1
271,1
4792,1
8087,1
244,0
7870,0
4572,1
2032,0
7487,1
6419,1
813,1
6010,1
3810,1
7861,1
8058,1
6594,1
1804,0
6896,1
4346,1
2461,0
545,0
3241,0
738,0
310,0
3521,1
1131,0
5545,1
7993,0
4111,1
2769,0
920,0
6802,1
3587,0
3959,1
38,0
4459,0
4278,1
2983,0
5290,1
8104,0
5217,1
2667,0
3223,0
1182,0
7372,0
614,0
7971,0
1466,0
4497,0
3042,0
934,0
2419,0
5085,1
7330,1
6582,1
4822,1
826,0
1521,0
2930,0
4232,1
628,0
4430,1
3853,0
390,0
4345,1
7907,0
5913,0
3990,1
400,0
4806,0
5135,0
6661,1
3359,1
46,0
5657,1
7785,1
7998,1
3642,0
3726,1
7435,1
5208,1
5319,1
7874,1
2421,0
5604,0
1750,0
7844,0
6650,1
4062,0
7684,1
338,0
215,0
3663,1
1341,0
7428,1
7855,1
3894,1
3640,0
329,0
7824,1
3004,1
7753,0
3115,0
7847,0
2322,0
4197,0
3549,0
1458,0
171,0
4203,1
7545,1
3569,0
4226,1
5158,1
6624,1
6185,1
6689,1
938,0
60,0
1240,1
5760,1
5136,1
6784,1
2120,0
1524,0
153,0
6344,1
481,0
6122,1
4460,1
3920,0
1762,0
750,0
1785,0
6750,1
6212,1
4501,1
4853,1
2711,0
6778,1
4193,1
1333,0
7232,1
2854,0
186,0
1136,0
2058,0
6807,1
7324,1
148,0
4124,0
4889,1
6577,1
3363,1
4788,0
2866,0
3776,0
1386,0
5941,1
7673,0
6715,1
5695,0
3629,0
7306,0
4797,1
3028,0
2969,0
7096,1
1708,0
2953,0
454,0
6136,1
7015,0
6411,1
609,0
4263,1
4826,1
6958,0
2074,1
4052,1
6601,1
1622,0
4683,1
5497,0
5796,1
7119,0
40,0
5475,1
2089,1
3924,0
2175,0
74,0
6499,1
8010,0
2657,0
3180,0
2076,0
441,0
2051,0
2541,0
1301,0
7469,1
3430,0
1304,0
236,0
7464,1
2599,0
4616,1
2573,0
3280,1
3186,0
3953,1
2768,0
4831,0
4223,1
2106,0
2679,0
2761,0
4688,1
5399,1
1387,0
7625,1
7351,1
7260,0
6987,1
7830,0
5000,1
5853,1
1279,0
7250,1
7955,0
6404,1
1555,1
7345,1
3190,1
4566,1
4802,1
7620,1
4841,1
3594,1
6035,1
1920,0
513,0
4177,1
1308,0
5667,1
914,0
3452,1
3695,0
4242,1
3156,1
2198,0
774,0
4425,1
6150,1
6097,1
943,0
822,0
5005,0
4277,1
164,0
5619,0
4547,1
3983,1
2538,0
7741,0
1311,0
5207,1
7386,1
5383,1
6769,1
7534,0
3300,1
3310,0
327,1
5886,0
2490,0
7642,0
6103,1
5954,1
7610,0
4408,1
832,0
3079,0
3462,0
5297,1
7120,1
54,1
6230,1
4064,1
3451,1
6305,1
1901,0
1481,0
4873,1
4895,1
4150,0
3335,0
6016,1
4926,0
946,0
5797,1
3293,0
2161,0
7857,1
5083,1
8021,1
3057,1
5490,1
768,0
7637,1
3495,0
285,0
8024,1
4524,1
7226,0
2332,0
2717,0
2079,0
3389,1
722,0
951,0
7546,1
2262,0
989,0
3212,0
1759,0
6667,1
4422,1
5479,0
1724,0
5182,1
341,0
3701,1
4243,1
688,0
3432,1
5203,1
4944,1
966,1
7668,1
7341,1
2203,0
2713,0
4757,1
5098,0
7157,1
7430,1
7160,1
5280,0
5975,1
3572,1
4805,1
5299,0
1990,1
4120,1
4759,1
6660,0
5298,1
7191,1
4971,1
7695,1
5034,1
3600,0
6490,1
7412,0
8084,0
6691,1
385,1
7090,0
7414,1
536,0
6387,1
7578,1
5032,1
4212,1
6456,1
3507,0
201,0
1332,1
3502,0
2708,0
6030,1
5031,1
6514,1
4662,0
4021,1
1854,0
7261,1
2872,0
3030,0
1205,0
6563,1
1645,0
3417,1
3476,0
6831,1
2861,0
1792,0
5526,1
3797,0
3368,0
3367,0
3533,1
7127,1
5109,0
6024,1
3449,0
603,0
3056,0
7069,1
126,0
7964,0
3876,1
2935,0
5443,0
4451,0
3531,1
2730,0
827,0
1639,0
984,1
3281,1
8072,1
2188,0
7482,1
2443,1
362,0
2349,0
345,0
814,1
6166,1
4807,1
3205,1
6743,1
7779,0
5961,0
3325,0
4106,1
7268,1
2116,0
1834,0
793,0
8035,0
2674,0
94,0
4225,1
3756,0
2891,0
2371,0
7003,0
6722,1
7201,1
3228,0
6158,1
6359,1
5996,0
7505,1
7320,1
6028,1
2853,0
7550,0
2912,0
1865,0
5754,0
4612,1
1857,0
2645,0
2243,0
5373,1
2336,0
950,1
3068,1
1120,0
2597,0
2204,0
419,0
922,0
1254,1
477,0
2035,0
8102,0
5788,1
5742,1
5567,1
6697,1
1202,0
6534,1
2626,0
5765,1
7812,1
1970,0
3110,1
4018,0
2151,0
3687,1
4916,1
1997,0
4033,0
7959,1
3054,0
1248,0
2192,0
2712,0
992,0
2190,0
4670,1
5142,1
5984,1
6565,1
3762,0
3597,1
4711,1
1318,0
1863,0
2343,0
2449,0
2136,0
1065,0
5868,1
8056,0
4227,1
2621,0
77,0
2898,0
6148,1
4820,1
1314,0
5947,1
8015,0
7094,1
872,0
3850,0
5468,1
5951,1
7763,0
2965,0
3391,0
5415,0
2560,1
7950,1
2635,0
5256,1
3530,0
375,0
1908,0
4429,1
7551,1
7105,1
4027,1
6461,1
1604,0
1118,0
3677,0
3490,1
7890,0
6039,1
2958,0
1994,0
8051,0
7060,1
2376,0
7436,1
1342,1
320,0
1619,0
3713,1
7433,1
2060,0
2219,0
1673,0
6038,0
260,0
7172,1
2039,0
4785,1
901,0
3744,0
6402,1
2026,0
4234,1
1917,0
1828,0
1573,0
4415,1
4749,1
6233,1
7128,0
4654,1
6283,1
4208,1
4627,1
224,0
723,0
7285,1
1141,0
5529,1
6469,1
5764,0
7243,1
5554,1
7703,1
2762,0
846,0
4289,1
5560,1
6717,1
5042,1
6117,1
2551,0
5725,1
2928,0
117,0
645,0
5966,1
3,1
4170,1
5851,1
467,0
5,0
5342,1
919,0
2595,0
4324,1
1063,0
2590,0
242,0
7070,1
1160,0
2870,0
3735,0
7427,1
2397,0
3517,0
3421,1
2563,0
6767,1
5622,0
1605,0
7826,1
2324,0
2709,0
7562,1
1312,1
3448,0
3812,0
6085,1
7553,1
2362,0
1975,1
3514,0
1761,0
5401,0
2739,0
5637,1
7563,1
2472,0
6738,1
6891,1
4007,1
4718,1
6177,1
1493,0
4206,1
6371,1
2158,0
1169,0
7335,0
232,0
66,0
1603,0
6168,1
3283,0
3596,0
6288,1
4632,1
125,0
6229,1
5350,1
1296,0
1976,0
7336,1
7279,1
2075,0
4580,1
5750,1
7669,1
3086,0
7046,0
6882,1
7085,1
3345,0
7254,1
5870,1
6506,1
2797,1
918,0
1646,0
5122,0
5126,1
4978,1
5431,1
6842,1
4621,1
6809,1
364,0
3287,0
2125,0
4123,1
4569,1
525,0
4821,1
55,0
638,0
302,0
2766,1
5811,1
1276,0
7608,1
4720,1
2055,0
5376,1
6947,1
5145,1
4432,1
3644,1
4143,1
2878,0
4202,1
6493,1
5175,0
2286,0
2261,0
5240,1
7228,0
2296,0
6937,0
5932,1
1753,0
5197,0
1968,0
7055,1
3117,0
2393,0
523,1
6376,1
6788,1
6981,1
5524,1
6677,1
3900,1
7569,1
4699,1
5585,1
7168,1
3122,1
6777,1
4156,0
1969,0
671,0
4188,1
666,0
7033,0
1887,1
3266,0
280,1
1719,0
2947,0
4455,1
899,0
6031,1
7863,1
6090,1
7117,1
6991,1
760,0
6254,1
1906,0
4042,1
3823,0
4138,0
3818,0
6269,1
4300,1
5569,0
6196,1
2593,0
4164,1
3031,0
5971,1
3579,0
2832,0
5449,1
3472,0
6327,1
137,0
7043,1
4892,1
2180,0
2128,1
3177,0
4854,1
4637,1
5115,1
7081,1
4261,1
4344,1
1331,0
2017,0
4542,1
2482,1
7002,1
1358,0
6941,0
6241,1
1329,0
8097,1
6881,1
7996,0
2150,0
4530,1
2122,0
4673,0
3981,1
6996,1
1252,0
3278,0
7062,1
3374,0
2814,0
4719,0
6544,1
1848,0
4858,0
3037,1
388,0
235,0
1077,1
1984,0
4363,1
3962,1
770,0
2165,0
4533,0
673,0
249,0
6297,1
1574,0
6238,1
3419,0
2081,0
1823,0
7514,0
7762,0
4544,1
5565,1
716,0
7245,0
8098,1
2048,0
5997,0
6600,1
5264,0
4178,1
4809,1
2724,0
7340,1
1460,0
6914,0
5989,1
1668,0
2756,0
2000,0
4571,1
4613,1
7547,0
404,0
384,0
7292,0
2152,0
1633,0
7440,0
5580,1
4784,1
7307,1
6970,0
3925,1
5336,1
4158,1
4948,1
5898,0
7362,1
5358,1
223,0
2193,0
3136,0
4469,1
1824,0
7459,0
5124,1
4972,1
797,0
2871,0
9,0
6593,1
1944,0
1838,0
4804,1
255,0
7026,0
5713,1
4485,1
7316,1
1581,0
2956,0
924,0
7808,1
7198,1
2508,0
6132,1
5024,1
5320,1
7102,1
6645,1
6042,1
3775,1
4835,1
4136,1
4964,0
2779,0
539,0
2745,0
7299,0
7418,0
6819,1
5467,1
1145,0
5127,1
4468,1
667,0
3019,0
357,1
5063,1
2831,0
2783,0
1353,0
5131,1
7114,1
470,0
2703,0
3330,0
3637,0
1396,0
3584,0
7286,1
5262,1
5645,0
3376,0
1256,1
6190,1
3512,0
5651,1
5778,1
1250,0
5795,1
5348,1
7797,0
4298,1
3284,1
2933,0
4175,1
5268,1
4910,1
1852,0
6316,1
6815,1
7599,1
7896,1
2105,0
133,0
5236,1
5029,1
928,0
823,0
7380,1
1531,0
1214,0
504,0
4285,1
6491,1
1996,0
6530,0
3072,0
1958,0
1384,0
894,0
4924,1
455,0
6619,1
5779,0
7522,0
3709,0
7493,1
4849,1
4748,1
4268,1
3522,1
4134,0
3602,0
7933,0
713,0
4186,0
2214,0
5301,1
2923,0
7359,0
1810,1
3486,0
3141,1
1827,0
1155,0
1324,0
4312,1
510,0
1680,0
499,0
7366,0
1856,0
1388,0
5615,1
3719,0
2386,0
5541,1
3236,0
6172,1
1540,1
1217,0
2681,0
7937,0
2993,0
5512,1
6313,1
1191,0
5772,1
5293,1
1542,0
3301,0
3324,0
7056,1
2539,1
953,0
7241,1
7176,0
6731,1
4846,0
6801,1
4330,1
732,1
8112,0
1156,0
7587,1
3294,0
6541,1
2982,0
5305,1
5161,1
2156,0
1062,0
2616,0
1167,0
3222,0
3636,0
5588,0
2938,0
7091,1
7192,1
4491,0
7266,0
3140,0
4980,1
143,0
8045,1
3577,0
4946,1
2782,0
717,0
1819,0
2502,0
4360,1
4171,1
6588,1
395,0
5731,0
6320,1
7186,1
7843,0
4492,1
1365,0
7402,1
5999,1
595,1
6205,1
3952,1
5392,0
5917,0
4968,1
2914,0
7997,1
2326,0
5644,1
3766,0
3440,0
3851,0
4132,1
7357,1
6806,1
7446,0
2143,0
7490,0
5073,1
1571,0
4079,1
1122,0
2786,0
6335,1
2967,0
2504,0
5988,1
3465,1
675,0
2808,0
7164,1
3348,0
728,0
412,0
3146,0
1516,0
5745,1
825,0
3267,0
3974,1
616,0
114,1
417,1
3069,1
1625,1
7113,1
6748,1
8040,0
4185,1
2896,0
7584,0
2082,0
753,0
2546,0
7420,1
3969,1
3373,0
5726,1
4107,0
2444,0
4380,0
1066,0
3913,1
5287,1
5536,0
5387,0
5732,0
3498,0
2738,0
5052,0
4000,0
1568,1
2427,0
3746,1
6833,1
7525,1
1687,0
851,0
3546,0
6303,1
895,0
4592,1
6401,1
5878,1
335,0
2839,0
3087,1
4611,0
1348,0
1015,0
2816,0
1631,0
2489,0
3730,0
6905,0
7390,0
3251,0
7519,1
7267,1
5877,1
6665,1
5881,1
2070,0
4452,1
7920,1
7421,1
5408,1
1635,0
4646,1
6484,1
2479,0
6617,1
2265,0
2959,0
5323,1
7674,0
3059,0
5053,0
5869,1
2141,0
5104,1
3118,1
5188,0
7665,0
4045,1
3356,0
2744,0
7253,0
5092,1
3506,1
1679,0
4249,1
3147,1
2294,0
7004,0
6933,1
580,0
1470,0
4799,0
4070,1
5308,0
3343,0
4992,1
7404,0
4583,1
3672,0
559,0
5237,1
5215,1
2849,0
512,0
4729,1
1081,1
1664,0
1012,0
1931,0
1150,0
2838,0
5949,0
116,0
740,0
7793,1
6070,1
5177,1
3675,1
5906,0
830,0
119,0
4752,1
7748,0
7690,1
8027,1
635,0
4465,1
4364,1
6799,1
7079,0
6966,1
7010,1
4142,0
7517,1
7027,1
991,0
876,0
4869,1
5315,1
5222,1
4,0
3051,0
5691,0
3124,1
6407,1
7136,0
2660,0
2491,0
7146,1
5173,1
3854,1
4933,1
4777,0
1715,0
6448,1
7509,1
6713,1
6457,1
6293,1
1148,0
3261,0
574,0
3769,0
3736,0
4146,1
853,0
1982,0
2774,0
5919,1
4929,1
7521,1
5211,1
1166,1
6614,1
6002,1
971,0
2701,0
4495,1
6655,1
3847,0
2368,0
4115,1
4780,1
4131,1
2950,0
5625,1
6971,1
524,0
2455,0
5016,1
1841,0
5986,1
537,0
2806,0
5801,1
5596,0
7206,1
7343,1
4341,0
7560,0
3175,0
784,0
4057,1
1409,0
2537,0
154,0
3009,1
1686,0
2901,0
8039,1
7455,0
4721,1
3863,0
2733,0
1895,0
5442,1
569,0
6709,1
5854,1
1816,1
2065,0
127,0
3394,0
3327,1
8092,1
6102,1
2975,0
980,0
2300,0
190,0
1139,0
5088,1
699,0
7749,0
606,0
4276,0
301,0
6640,1
3420,0
7815,1
1060,0
7877,1
7954,0
2565,0
8108,1
1069,0
2524,0
2205,0
1243,1
7339,1
16,0
3120,0
8095,1
4642,1
4754,1
815,0
3067,0
7756,1
5600,1
959,0
7022,0
6427,1
4893,1
7444,0
225,0
6170,1
3354,0
5895,0
2485,0
562,0
3436,0
6373,1
6181,1
1693,0
6893,1
1045,0
3446,1
4565,1
954,0
8091,1
2735,0
7961,1
4735,1
7818,0
1218,0
5254,1
5511,1
7722,1
1527,0
3987,1
8014,0
1300,0
7939,0
6944,1
5699,1
160,0
4067,1
5800,1
956,1
3791,0
3234,0
2869,0
3777,0
4433,1
4973,1
6015,1
2961,0
5980,0
2200,0
98,0
7888,1
2557,0
3183,0
7394,1
253,0
3923,0
4199,1
1445,1
5539,1
1648,0
4682,1
4723,1
3991,1
1696,0
3191,1
6197,1
6295,1
4499,1
1154,1
2255,0
6959,1
1682,0
3170,0
7400,0
2056,0
7158,0
4090,1
7910,1
3108,0
4548,1
3723,0
6397,1
5423,1
7040,0
2049,0
4976,1
3643,0
8008,1
623,0
6489,1
7807,0
5883,0
262,0
5730,1
3369,0
4061,0
5534,0
6294,1
6065,1
6616,1
1802,0
4736,1
8106,0
2385,1
6694,1
5759,1
1959,1
2976,0
488,0
1843,1
1734,1
2911,0
3219,0
146,0
5630,0
1986,0
1369,0
6546,1
6051,1
7098,0
2811,0
659,0
1794,0
7516,0
2511,0
3397,1
4282,1
1147,0
3272,0
608,0
6287,1
6895,1
3582,0
1930,1
7125,1
197,0
7777,0
2931,0
2327,0
4389,1
766,0
4496,1
4218,1
3255,0
202,0
3510,0
4931,0
6390,1
5535,1
1733,0
5791,1
2777,0
1707,1
5172,1
5249,1
5757,0
3474,0
6528,1
7868,1
5855,1
854,0
5685,1
6363,1
4737,1
4097,1
2160,0
698,1
8036,0
2999,0
3696,0
1636,1
7280,0
7554,1
3457,1
3581,1
1291,0
4659,1
6585,1
5616,1
1853,0
5232,1
3763,0
3304,1
7982,1
5727,0
3743,0
3445,0
1998,0
663,1
4779,1
5353,1
7885,1
3748,0
4413,1
4744,1
5530,1
5575,1
709,0
7526,0
1282,0
5864,1
5068,1
2675,0
6776,1
4029,1
1306,0
5496,1
5504,0
7392,1
2237,0
3302,0
5592,1
7515,1
2038,0
1529,0
1663,0
5450,1
8017,0
8047,1
3627,1
5739,1
5147,1
4891,1
2693,0
3060,1
1597,0
6700,1
2729,0
2625,0
5915,1
3157,0
3314,0
1722,0
5279,1
6668,1
1059,0
4636,1
3242,1
1678,0
6892,1
6374,1
7574,1
6628,1
1757,0
6019,1
4191,1
5116,1
563,0
7408,1
2790,0
863,0
7742,1
7858,0
1484,0
7035,0
7721,0
5977,1
5134,0
206,0
4488,1
6938,0
870,0
4493,1
6910,0
502,0
7385,0
1028,0
3840,1
2690,0
5581,1
6756,1
7906,1
5056,1
1570,0
2773,0
5991,1
2731,0
6242,1
804,0
5847,0
3645,0
2454,0
4598,1
7215,1
3104,1
7073,0
4875,1
5959,1
200,0
6278,1
3099,0
6184,1
7161,1
2278,0
3561,0
5892,1
4474,1
6432,1
4514,1
5794,0
391,0
6736,1
5618,1
5258,1
7230,1
1495,0
2695,0
2027,0
5248,1
5463,0
2568,0
64,0
3884,0
2062,0
5276,1
7208,0
492,1
379,0
6331,0
4859,0
6360,1
3993,1
4887,1
1076,0
878,0
337,0
7916,0
6863,1
7892,1
6439,1
7869,1
1016,0
1275,1
3798,0
7629,1
4551,1
3342,0
4911,0
6413,1
995,0
1981,0
4297,1
161,0
5675,1
6873,1
6545,1
4798,1
1500,0
7989,1
3843,1
5225,1
2613,0
3461,0
1021,0
3073,1
7555,0
3943,0
1585,1
1955,1
3152,1
6349,1
34,0
4014,1
775,0
2556,0
7595,1
1478,1
7099,1
5486,1
6235,1
1363,0
7041,0
2612,0
7513,0
2824,0
2041,0
241,0
2061,1
2363,0
600,0
2435,0
5393,1
6310,1
2888,0
6164,1
646,0
3890,1
3556,1
3202,0
1528,0
6975,0
1267,1
7734,1
1899,0
4658,1
3005,0
2734,0
7101,1
189,0
1806,0
975,0
2747,0
7643,0
2047,0
7849,1
2558,0
1082,0
474,0
7728,1
2904,0
4843,1
6396,0
4117,1
3385,0
4555,1
1184,0
6420,1
5051,1
5311,1
2433,0
6949,1
7581,0
5611,1
2391,0
769,0
7476,1
1685,0
130,0
7831,0
2919,0
3171,0
3444,1
6231,1
5578,0
4426,1
5334,1
466,0
6265,1
5734,0
3092,0
3772,0
5191,1
5226,1
5390,0
860,0
7603,1
7270,0
